ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,SalesOrderNumber,TotalProductCost,SalesAmount
361,20130101,20130113,20130108,11249,SO51247,1251.9813,2294.99
477,20130101,20130113,20130108,11249,SO51247,1.8663,4.99
478,20130101,20130113,20130108,11249,SO51247,3.7363,9.99
378,20130101,20130113,20130108,12307,SO51248,1554.9479,2443.35
353,20130101,20130113,20130108,11334,SO51249,1265.6195,2319.99
478,20130101,20130113,20130108,11334,SO51249,3.7363,9.99
477,20130101,20130113,20130108,11334,SO51249,1.8663,4.99
376,20130101,20130113,20130108,19360,SO51250,1554.9479,2443.35
479,20130101,20130113,20130108,19360,SO51250,3.3623,8.99
477,20130101,20130113,20130108,19360,SO51250,1.8663,4.99
489,20130101,20130113,20130108,19360,SO51250,41.5723,53.99
374,20130101,20130113,20130108,11433,SO51251,1554.9479,2443.35
592,20130101,20130113,20130108,15551,SO51252,308.2179,564.99
535,20130101,20130113,20130108,15551,SO51252,9.3463,24.99
480,20130101,20130113,20130108,15551,SO51252,0.8565,2.29
378,20130101,20130113,20130108,22785,SO51253,1554.9479,2443.35
484,20130101,20130113,20130108,22785,SO51253,2.9733,7.95
372,20130101,20130113,20130108,20180,SO51254,1554.9479,2443.35
529,20130101,20130113,20130108,20180,SO51254,1.4923,3.99
540,20130101,20130113,20130108,20180,SO51254,12.1924,32.6
484,20130101,20130113,20130108,20180,SO51254,2.9733,7.95
386,20130101,20130113,20130108,23105,SO51255,713.0798,1120.49
217,20130101,20130113,20130108,23105,SO51255,13.0863,34.99
463,20130101,20130113,20130108,23105,SO51255,9.1593,24.49
363,20130101,20130113,20130108,11017,SO51256,1251.9813,2294.99
485,20130101,20130113,20130108,11017,SO51256,8.2205,21.98
382,20130101,20130113,20130108,19167,SO51257,713.0798,1120.49
386,20130101,20130113,20130108,18544,SO51258,713.0798,1120.49
214,20130101,20130113,20130108,18544,SO51258,13.0863,34.99
573,20130101,20130113,20130108,11433,SO51259,1481.9379,2384.07
